date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-08-24,6846,5000,411900,83.3,83.3,82.0,82.0,-1.3,5,82.99070055726712,83.49576009320661,84.6756310134282,87.13166462100519
2023-08-25,6846,5000,408500,81.3,81.8,81.3,81.8,-0.2,5,82.5938003715114,83.18744007625996,84.42557614269532,86.97251045321399
2023-08-28,6846,4000,329000,82.8,82.8,82.0,82.0,0.2,4,82.39586691434094,82.97154188057632,84.21465647811311,86.82407730535685
2023-08-29,6846,3000,246000,82.0,82.0,82.0,82.0,0.0,3,82.26391127622729,82.79489790228972,84.02207765392936,86.68007499773427
2023-08-30,6846,11000,902000,82.0,82.0,82.0,82.0,0.0,11,82.1759408508182,82.65037101096432,83.84624481445724,86.54037126645862
2023-08-31,6846,4000,328200,82.1,82.1,82.0,82.0,0.0,4,82.11729390054546,82.53212173624354,83.68570178711313,86.40483779581807
2023-09-01,6846,19000,1562500,82.1,82.5,81.6,81.6,-0.4,17,81.94486260036363,82.36264505692652,83.50433641432069,86.26140980191305
2023-09-04,6846,10000,819300,82.0,82.8,81.6,82.8,1.2,10,82.22990840024242,82.44216413748534,83.44308976959715,86.1580841361843
2023-09-05,6846,1000,82100,82.1,82.1,82.1,82.1,-0.7,1,82.18660560016161,82.37995247612436,83.32629935484957,86.0369472962982
2023-09-06,6846,6000,491300,82.1,82.1,81.8,81.9,-0.2,6,82.09107040010774,82.29268838955629,83.20227332399308,85.91345633222959
2023-09-07,6846,6000,492000,82.0,82.0,82.0,82.0,0.1,6,82.06071360007182,82.23947231872788,83.0977278175589,85.79663674022274
2023-09-08,6846,5000,407500,81.5,81.9,81.2,81.9,-0.1,5,82.00714240004788,82.17775007895918,82.99357757255379,85.68031922558923
2023-09-11,6846,26000,2127900,82.1,82.1,81.6,81.6,-0.3,17,81.87142826669859,82.07270461005751,82.87239691407085,85.55851865169105
2023-09-12,6846,7000,573100,81.7,82.0,81.7,82.0,0.4,7,81.91428551113239,82.05948559004706,82.7965363128473,85.45229421432714
2023-09-13,6846,4000,328000,82.0,82.0,82.0,82.0,0.0,4,81.9428570074216,82.04867002822033,82.72727228564318,85.34924065569051
2023-09-14,6846,15000,1241600,82.6,83.1,82.6,83.1,1.1,14,82.32857133828107,82.23982093218027,82.75968339123942,85.28209914358034
2023-09-15,6846,5000,416600,83.5,83.7,82.6,82.6,-0.5,5,82.41904755885405,82.30530803542021,82.74579787895773,85.20203648257794
2023-09-18,6846,6000,492700,82.0,82.6,82.0,82.1,-0.5,6,82.31269837256936,82.26797930170744,82.68964154165705,85.10943837862038
2023-09-19,6846,2000,163500,81.5,82.0,81.5,82.0,-0.1,2,82.2084655817129,82.21925579230609,82.62967271194775,85.01661932254216
2023-09-20,6846,2000,163100,81.6,81.6,81.5,81.5,-0.5,2,81.9723103878086,82.0884820118868,82.53144030221316,84.91164561142149
