date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-03-10,6708,211000,12573600,60.5,60.5,59.0,59.0,-1.8,170,60.63305666397853,60.801886229188305,60.48645755099415,
2023-03-13,6708,307000,17375700,58.1,58.2,55.9,56.4,-2.6,234,59.22203777598568,60.001543278426794,60.131113416125096,
2023-03-14,6708,83000,4656500,56.0,56.4,55.7,55.7,-0.7,66,58.048025183990454,59.21944450053101,59.745799206027264,
2023-03-15,6708,80000,4546500,56.5,57.7,55.8,55.9,0.2,70,57.33201678932697,58.6159091367981,59.41138188376402,
2023-03-16,6708,50000,2781500,55.8,56.6,55.1,55.6,-0.3,46,56.754677859551315,58.06756202101663,59.07995737213237,
2023-03-17,6708,44000,2468100,56.0,56.5,55.8,56.2,0.6,40,56.56978523970088,57.7280052899227,58.82952629629477,
2023-03-20,6708,54000,3036300,56.2,56.5,55.7,56.1,-0.1,47,56.413190159800585,57.43200432811857,58.592176183573486,
2023-03-21,6708,76000,4271600,56.0,56.8,55.8,56.3,0.2,65,56.37546010653372,57.226185359369744,58.39285651543666,
2023-03-22,6708,90000,5143600,56.4,57.8,56.4,57.6,1.3,72,56.78364007102248,57.294151657666156,58.32391247061609,
2023-03-23,6708,43000,2455800,57.5,57.5,56.5,57.3,-0.3,38,56.95576004734832,57.29521499263595,58.23487660360599,
2023-03-24,6708,61000,3470100,57.0,57.2,56.7,57.0,-0.3,52,56.970506698232214,57.24153953942941,58.12749602937938,
2023-03-27,6708,94000,5261600,57.0,57.0,55.6,55.8,-1.2,84,56.580337798821475,56.979441441351334,57.92510507030291,
2023-03-28,6708,51000,2829100,55.8,56.9,55.1,55.7,-0.1,46,56.28689186588098,56.746815724742,57.73161767288527,
2023-03-29,6708,49000,2706400,56.7,56.7,55.0,55.0,-0.7,45,55.85792791058732,56.429212865698,57.49408570133003,
2023-03-30,6708,62000,3426700,55.3,56.0,55.0,55.2,0.2,42,55.63861860705821,56.20571961738927,57.294599988170894,
2023-03-31,6708,55000,3073600,55.9,56.3,55.5,55.5,0.3,51,55.59241240470548,56.07740695968213,57.13854781528647,
2023-04-06,6708,50000,2811800,55.3,56.5,55.3,56.5,1.0,45,55.894941603136985,56.15424205792174,57.08302191830504,
2023-04-07,6708,52000,2929300,56.9,57.0,56.0,56.3,-0.2,44,56.02996106875799,56.18074350193597,57.014933055843734,
2023-04-10,6708,80000,4448700,56.0,56.3,55.1,56.0,-0.3,60,56.01997404583866,56.147881047038524,56.926678007509494,
2023-04-11,6708,61000,3399800,55.5,56.0,55.5,55.5,-0.5,45,55.84664936389244,56.03008449303152,56.802619050334755,
2023-04-12,6708,57000,3186500,55.2,56.8,55.1,56.4,0.9,53,56.031099575928295,56.09734185793488,56.76760869813173,
2023-04-13,6708,37000,2062300,55.6,56.3,55.6,55.6,-0.8,37,55.88739971728553,56.006916065583084,56.66607750698984,
2023-04-14,6708,50000,2771800,55.6,55.7,55.3,55.5,-0.1,45,55.75826647819036,55.914749508204345,56.56467946290377,
2023-04-17,6708,132000,7149600,55.1,55.1,53.9,54.3,-1.2,122,55.272177652126906,55.62115868853083,56.36775081395562,
2023-04-18,6708,126000,6759200,54.5,54.5,52.9,53.5,-0.8,103,54.68145176808461,55.235493472434314,56.11838117795948,
2023-04-19,6708,55000,2911800,53.5,53.5,52.5,52.8,-0.7,50,54.05430117872307,54.79267647744626,55.82982629291952,58.40454545454546
2023-04-20,6708,62000,3223800,52.3,52.3,51.7,52.1,-0.7,54,53.40286745248205,54.30309893609239,55.50549357179609,58.21635006784261
2023-04-21,6708,81000,4128500,52.0,52.1,50.3,50.3,-1.8,69,52.3685783016547,53.575262765893775,55.0528419568573,57.980041110593575
2023-04-24,6708,60000,3037300,50.1,51.5,50.0,50.3,0.0,46,51.67905220110313,52.979760444822176,54.639551351913184,57.75078615206839
2023-04-25,6708,178000,8657000,50.3,50.3,48.0,48.1,-2.2,139,50.486034800735425,52.09253127303633,54.070894712616386,57.462702983349935
2023-04-26,6708,55000,2636550,48.1,48.8,47.2,48.8,0.7,49,49.92402320049028,51.49388922339336,53.61255604195409,57.20411483459322
2023-04-27,6708,51000,2467900,48.8,48.8,48.2,48.35,-0.45,43,49.399348800326855,50.92227300095821,53.15494247308852,56.93981289923223
2023-04-28,6708,36000,1747700,48.5,48.9,48.4,48.5,0.15,31,49.09956586688457,50.48185972805671,52.750164866732995,56.68787818582231
2023-05-02,6708,8000,393500,48.5,49.5,48.5,49.2,0.7,8,49.13304391125638,50.24879432295549,52.44145487832143,56.464359434006724
2023-05-03,6708,15000,728800,49.0,49.0,48.05,48.05,-1.15,15,48.77202927417092,49.84901353696358,52.059589236728264,56.21318452552891
2023-05-04,6708,38000,1843950,48.0,49.0,48.0,48.7,0.65,33,48.74801951611395,49.64010198478839,51.76745104223016,55.988910360587745
