StockID,FirstDate
8039,2008-01-02
8040,2008-01-02
8042,2008-01-02
8043,2008-01-02
8044,2008-01-02
8046,2008-01-02
8047,2008-01-02
8049,2008-01-02
8050,2008-01-02
8054,2008-01-02
8064,2008-01-02
8066,2008-01-02
8067,2008-01-02
8068,2008-01-02
8069,2008-01-02
8070,2008-01-02
8071,2008-01-02
8072,2008-01-02
8074,2008-01-02
8076,2008-01-02
8077,2008-01-02
8081,2008-01-02
8083,2008-01-02
8084,2008-01-02
8085,2008-01-02
8087,2008-01-02
8088,2008-01-02
8091,2008-01-02
8092,2008-01-02
8093,2008-01-02
8096,2008-01-02
8097,2008-01-02
8099,2008-01-02
8101,2008-01-02
8103,2008-01-02
8105,2008-01-02
8109,2008-01-02
8110,2008-01-02
8111,2008-01-02
8112,2008-01-02
8114,2008-01-02
8121,2008-01-02
8131,2008-01-02
8163,2008-01-02
8182,2008-01-02
8183,2008-01-02
8201,2008-01-02
8210,2008-01-02
8234,2008-01-02
8240,2008-01-02
8249,2008-01-02
8255,2008-01-02
8261,2008-01-02
8277,2008-01-02
8299,2008-01-02
8349,2008-01-02
8354,2008-01-02
8374,2008-01-02
8383,2008-01-02
8905,2008-01-02
8906,2008-01-02
8908,2008-01-02
8916,2008-01-02
8917,2008-01-02
8921,2008-01-02
8923,2008-01-02
8924,2008-01-02
8926,2008-01-02
8927,2008-01-02
8928,2008-01-02
8929,2008-01-02
8930,2008-01-02
8931,2008-01-02
8932,2008-01-02
8933,2008-01-02
8935,2008-01-02
8936,2008-01-02
8937,2008-01-02
8938,2008-01-02
8940,2008-01-02
8941,2008-01-02
8942,2008-01-02
8996,2008-01-02
9105,2008-01-02
9902,2008-01-02
9904,2008-01-02
9905,2008-01-02
9906,2008-01-02
9907,2008-01-02
9908,2008-01-02
9910,2008-01-02
9911,2008-01-02
9912,2008-01-02
9914,2008-01-02
9917,2008-01-02
9918,2008-01-02
9919,2008-01-02
9924,2008-01-02
9925,2008-01-02
9926,2008-01-02
9927,2008-01-02
9928,2008-01-02
9929,2008-01-02
9930,2008-01-02
9931,2008-01-02
9933,2008-01-02
9934,2008-01-02
9935,2008-01-02
9937,2008-01-02
9938,2008-01-02
9939,2008-01-02
9940,2008-01-02
9941,2008-01-02
9942,2008-01-02
9943,2008-01-02
9944,2008-01-02
9945,2008-01-02
9946,2008-01-02
9949,2008-01-02
9950,2008-01-02
9951,2008-01-02
9955,2008-01-02
9960,2008-01-02
9962,2008-01-02
3491,2008-01-03
1446,2008-01-04
2412,2008-01-09
2491,2008-01-16
1583,2008-01-24
3332,2008-01-24
3287,2008-01-28
3434,2008-01-28
3465,2008-01-28
3535,2008-01-31
3557,2008-02-27
3308,2008-03-12
9958,2008-03-12
3152,2008-03-24
3548,2008-03-27
3531,2008-04-08
3551,2008-04-15
3556,2008-04-15
3546,2008-04-18
8289,2008-04-24
3118,2008-05-21
8390,2008-05-21
3310,2008-06-27
3164,2008-09-10
3570,2008-10-23
1799,2008-11-10
3611,2008-11-26
2208,2008-12-22
2038,2008-12-30
3577,2009-01-06
3552,2009-01-07
3576,2009-01-12
3511,2009-02-16
4729,2009-02-24
1773,2009-02-27
3596,2009-03-11
3593,2009-03-16
2231,2009-03-25
3622,2009-03-25
3605,2009-03-26
2636,2009-03-31
3615,2009-04-15
6024,2009-04-27
3322,2009-05-20
2596,2009-06-01
8086,2009-06-01
2049,2009-06-26
1788,2009-07-20
1813,2009-08-04
1752,2009-08-10
3588,2009-08-14
3587,2009-08-18
3652,2009-08-27
8048,2009-09-08
3607,2009-10-28
3625,2009-10-28
3653,2009-11-18
3169,2009-11-24
3541,2009-12-22
3617,2009-12-23
8213,2009-12-25
4133,2009-12-28
1524,2010-01-04
2017,2010-01-04
2332,2010-01-04
2355,2010-01-04
2369,2010-01-04
2504,2010-01-04
3021,2010-01-04
3071,2010-01-04
3086,2010-01-04
3128,2010-01-04
3221,2010-01-04
3444,2010-01-04
4420,2010-01-04
4527,2010-01-04
5324,2010-01-04
5434,2010-01-04
5521,2010-01-04
8107,2010-01-04
9921,2010-01-04
3537,2010-01-25
1795,2010-01-29
8059,2010-03-16
2597,2010-03-26
8401,2010-03-29
3703,2010-04-07
3630,2010-04-26
3623,2010-04-28
3092,2010-05-11
3629,2010-05-27
6803,2010-05-27
3479,2010-06-08
4930,2010-06-21
3664,2010-06-24
4938,2010-06-24
3580,2010-07-09
3686,2010-07-20
3704,2010-08-13
2063,2010-09-07
3628,2010-09-09
4919,2010-09-27
8358,2010-09-27
3441,2010-10-04
911608,2010-10-20
3673,2010-10-29
1590,2010-11-08
1762,2010-11-08
2637,2010-11-08
2723,2010-11-08
3257,2010-11-08
3432,2010-11-08
3550,2010-11-08
3591,2010-11-08
3665,2010-11-08
3694,2010-11-08
3705,2010-11-08
4737,2010-11-08
4746,2010-11-08
4935,2010-11-08
4942,2010-11-08
8215,2010-11-08
8271,2010-11-08
8404,2010-11-08
5536,2010-11-10
3691,2010-11-18
3567,2010-11-22
4736,2010-12-01
3685,2010-12-08
2061,2010-12-09
3631,2010-12-20
4138,2010-12-29
3563,2011-01-05
3609,2011-01-11
